Model:	LI-7810
SN:	TG10-01532
Software Version:	2.3.5
Timestamp:	2025-07-11 09:00:00
Timezone:	America/Los_Angeles
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATA	1752251343	811448097	1937	0	""	2025-07-11	09:29:03	35014.383	495.55594	4455.1133	39.5515	55.001	26.5962	40.2261	0.00508213	10.8427	54.5005	-12	0.503231	15.7272	146
DATA	1752251344	811448097	1941	0	""	2025-07-11	09:29:04	35039.289	495.07755	4460.0938	39.5524	55.0003	26.5967	40.2261	0.00507409	10.8422	54.5005	55.25	0.503231	15.7276	 74
DATA	1752251345	811448097	1945	0	""	2025-07-11	09:29:05	35059.82	495.91257	4464.9277	39.5524	55.0005	26.5983	40.2261	0.00508743	10.8427	54.5005	94	0.503231	15.7268	152
DATA	1752251346	811448097	1949	0	""	2025-07-11	09:29:06	35080.09	496.48196	4469.791	39.5528	55.0005	26.5991	40.2261	0.00508218	10.8421	54.5005	35.5	0.503231	15.7268	193
DATA	1752251347	811106920	1953	0	""	2025-07-11	09:29:07	35102.551	497.22342	4475.1655	39.5515	55.0006	26.5999	40.2261	0.00507642	10.842	54.5005	155.75	0.503231	15.7276	 57
DATA	1752251348	811106920	1957	0	""	2025-07-11	09:29:08	35125.695	497.4198	4480.4658	39.5515	55.0006	26.602	40.2261	0.00508139	10.8425	54.5007	4.25	0.503231	15.7268	174
DATA	1752251349	811106920	1961	0	""	2025-07-11	09:29:09	35140.16	498.6922	4484.6099	39.5532	55.0005	26.6008	40.2261	0.00510958	10.8419	54.5013	-93	0.503231	15.7276	115
DATA	1752251350	811106920	1965	0	""	2025-07-11	09:29:10	35157.535	498.47678	4490.7061	39.5532	55.0006	26.6016	40.2261	0.00509304	10.8415	54.5013	13	0.503231	15.7272	145
DATA	1752251351	811106920	1969	0	""	2025-07-11	09:29:11	35176.75	499.15512	4495.9873	39.5524	55.0008	26.5991	40.2261	0.00508363	10.8417	54.5013	-144.75	0.503231	15.7276	124
DATA	1752251352	811106920	1973	0	""	2025-07-11	09:29:12	35196.004	499.78146	4500.8174	39.5519	55.001	26.5946	40.2261	0.00507433	10.8423	54.5013	-143.75	0.503231	15.728	 44
DATA	1752251353	811106920	1977	0	""	2025-07-11	09:29:13	35213.953	499.85941	4506.0918	39.5532	55.0003	26.5938	40.2261	0.00510403	10.8407	54.5013	-54.5	0.503231	15.728	251
DATA	1752251354	810765981	1981	0	""	2025-07-11	09:29:14	35235.512	501.35184	4510.7959	39.5528	55.0003	26.5921	40.2261	0.00508341	10.8421	54.5007	39.25	0.503231	15.7276	 54
DATA	1752251355	810765981	1985	0	""	2025-07-11	09:29:15	35254.672	501.09052	4515.3223	39.5528	55.0008	26.593	40.2261	0.00508898	10.8419	54.5007	-9.5	0.503231	15.7284	228
DATA	1752251356	810765981	1989	0	""	2025-07-11	09:29:16	35271.531	502.22421	4520.9863	39.5519	55.0008	26.5921	40.2261	0.0050952	10.8414	54.5005	110.5	0.503231	15.7257	255
DATA	1752251357	810765981	1993	0	""	2025-07-11	09:29:17	35289.195	502.79797	4526.1089	39.5528	55.001	26.5934	40.2261	0.00510142	10.8407	54.5005	-29.75	0.503231	15.7261	 84
DATA	1752251358	810765981	1997	0	""	2025-07-11	09:29:18	35305.973	503.16714	4530.9053	39.554	55.001	26.5925	40.2261	0.00511303	10.8405	54.5005	40	0.503231	15.7257	 57
DATA	1752251359	810765981	2001	0	""	2025-07-11	09:29:19	35318.559	504.40701	4536.2573	39.5532	55.001	26.5925	40.2261	0.00511785	10.8416	54.5005	45.25	0.503231	15.7265	  2
DATA	1752251360	810765981	2005	0	""	2025-07-11	09:29:20	35331.117	503.28943	4541.6284	39.5524	55.001	26.5925	40.2261	0.00510606	10.8411	54.5005	60.25	0.503231	15.7261	223
DATA	1752251361	810765981	2009	0	""	2025-07-11	09:29:21	35348.277	504.59485	4547.2441	39.5544	55.001	26.5934	40.2261	0.00510836	10.8412	54.5005	46.5	0.503231	15.7276	215
DATA	1752251362	810432910	2013	0	""	2025-07-11	09:29:22	35363.84	504.67514	4552.519	39.5528	55.001	26.5967	40.2261	0.00509591	10.8415	54.5005	100.5	0.503231	15.728	 87
DATA	1752251363	810432910	2017	0	""	2025-07-11	09:29:23	35374.492	505.19055	4557.645	39.5536	55.001	26.5962	40.2261	0.00512996	10.8407	54.5007	-231.25	0.503231	15.7265	 44
DATA	1752251364	810432910	2021	0	""	2025-07-11	09:29:24	35385.961	506.03882	4562.603	39.5552	55.001	26.5917	40.2261	0.00514269	10.8408	54.5013	-31.25	0.503231	15.7284	234
DATA	1752251365	810432910	2025	0	""	2025-07-11	09:29:25	35401.91	504.70798	4567.5264	39.5544	55.001	26.5897	40.2261	0.00510145	10.8398	54.5013	43	0.503231	15.7272	 55
DATA	1752251366	810432910	2029	0	""	2025-07-11	09:29:26	35410.027	506.12854	4572.4087	39.5532	55.001	26.5925	40.2261	0.00511785	10.8408	54.5013	56	0.503231	15.7284	 96
DATA	1752251367	810432910	2033	0	""	2025-07-11	09:29:27	35426.598	507.08026	4577.5034	39.554	55.001	26.5938	40.2261	0.00514484	10.8412	54.5013	-19.25	0.503231	15.7272	247
DATA	1752251368	810432910	2037	0	""	2025-07-11	09:29:28	35440.031	508.44598	4582.7222	39.5548	55.001	26.5934	40.2261	0.0051471	10.8412	54.5011	40.25	0.503231	15.7272	186
DATA	1752251369	810096979	2041	0	""	2025-07-11	09:29:29	35454.191	508.79684	4587.4502	39.5536	55.001	26.5946	40.2261	0.00515327	10.8403	54.5005	28.5	0.503231	15.7261	233
DATA	1752251370	810096979	2045	0	""	2025-07-11	09:29:30	35463.73	508.69516	4592.4785	39.554	55.001	26.5934	40.2261	0.00512755	10.8414	54.5005	-102.25	0.503231	15.7261	  2
DATA	1752251371	810096979	2049	0	""	2025-07-11	09:29:31	35475.184	509.79791	4597.3135	39.5548	55.001	26.5905	40.2261	0.00513901	10.8405	54.5005	-60.5	0.503231	15.7249	 21
DATA	1752251372	810096979	2053	0	""	2025-07-11	09:29:32	35489.547	511.57242	4602.7534	39.5556	55.001	26.5901	40.2261	0.00514728	10.8406	54.5005	-115	0.503231	15.7241	202
DATA	1752251373	810096979	2057	0	""	2025-07-11	09:29:33	35501.441	512.33844	4608.5371	39.5548	55.001	26.5901	40.2261	0.00514812	10.8408	54.5005	142	0.503231	15.7245	148
DATA	1752251374	810096979	2061	0	""	2025-07-11	09:29:34	35508.906	512.05243	4613.3018	39.5548	55.001	26.5921	40.2261	0.00513793	10.8411	54.5005	1.5	0.503231	15.7225	140
DATA	1752251375	810096979	2065	0	""	2025-07-11	09:29:35	35515.219	511.77402	4618.2715	39.5556	55.001	26.5934	40.2261	0.00511741	10.8405	54.5005	57.5	0.503231	15.7268	217
DATA	1752251376	810096979	2069	0	""	2025-07-11	09:29:36	35515.301	512.57794	4622.6479	39.5548	55.001	26.5934	40.2261	0.00512286	10.8404	54.5005	-128	0.503231	15.7261	225
DATA	1752251377	809766054	2073	0	""	2025-07-11	09:29:37	35516.395	512.51276	4628.3188	39.5548	55.001	26.5917	40.2261	0.0050962	10.8404	54.5005	102.5	0.503231	15.7253	219
DATA	1752251378	809766054	2077	0	""	2025-07-11	09:29:38	35517.945	514.90417	4633.0117	39.5556	55.001	26.5925	40.2261	0.0051157	10.8403	54.5009	15	0.503231	15.7276	 73
DATA	1752251379	809766054	2081	0	""	2025-07-11	09:29:39	35519.336	514.88959	4638.5347	39.5556	55.001	26.5913	40.2261	0.00508433	10.841	54.5013	18.25	0.503231	15.7276	245
DATA	1752251380	809766054	2085	0	""	2025-07-11	09:29:40	35525.602	515.85425	4643.9136	39.5552	55.001	26.5905	40.2261	0.00513137	10.8401	54.5013	67	0.503231	15.7265	103
DATA	1752251381	809766054	2089	0	""	2025-07-11	09:29:41	35526.727	515.91766	4648.6055	39.556	55.001	26.5909	40.2261	0.00508806	10.8401	54.5013	-40.25	0.503231	15.728	221
DATA	1752251382	809766054	2093	0	""	2025-07-11	09:29:42	35535.691	517.54529	4654.0947	39.5556	55.001	26.5901	40.2261	0.00512886	10.8409	54.5011	-18.5	0.503231	15.7284	 22
DATA	1752251383	809766054	2097	0	""	2025-07-11	09:29:43	35539.129	516.61072	4659.4463	39.556	55.001	26.5909	40.2261	0.0051193	10.8401	54.5011	-36.5	0.503231	15.728	112
DATA	1752251384	809422969	2101	0	""	2025-07-11	09:29:44	35545.516	517.94836	4664.4927	39.556	55.001	26.5909	40.2261	0.00513259	10.8396	54.5007	-57.75	0.503231	15.7268	 45
DATA	1752251385	809422969	2105	0	""	2025-07-11	09:29:45	35550.008	517.12921	4669.5308	39.5548	55.001	26.5889	40.2261	0.00510654	10.8411	54.5005	28.75	0.503231	15.7261	 16
DATA	1752251386	809422969	2109	0	""	2025-07-11	09:29:46	35555.746	517.44067	4674.0801	39.5552	55.001	26.5917	40.2261	0.00511253	10.8406	54.5005	-103.5	0.503231	15.7257	 55
DATA	1752251387	809422969	2113	0	""	2025-07-11	09:29:47	35562.492	518.70752	4678.9502	39.5565	55.001	26.5901	40.2261	0.00510335	10.8399	54.5005	261.75	0.503231	15.7257	 83
DATA	1752251388	809422969	2117	0	""	2025-07-11	09:29:48	35571.559	519.11127	4684.5742	39.5556	55.001	26.5954	40.2261	0.00510819	10.8405	54.5005	163.75	0.503231	15.7249	 89
DATA	1752251389	809422969	2121	0	""	2025-07-11	09:29:49	35575.914	519.79022	4689.085	39.5548	55.001	26.5979	40.2261	0.00510847	10.8397	54.5005	4.25	0.503231	15.7233	206
DATA	1752251390	809422969	2125	0	""	2025-07-11	09:29:50	35584.293	519.56836	4694.4146	39.556	55.001	26.5962	40.2261	0.0051331	10.8403	54.5005	-6.75	0.503231	15.7229	171
DATA	1752251391	809422969	2129	0	""	2025-07-11	09:29:51	35594.176	521.10217	4698.9922	39.5565	55.001	26.5967	40.2261	0.00514196	10.8404	54.5005	-11.75	0.503231	15.7233	 68
DATA	1752251392	809077978	2133	0	""	2025-07-11	09:29:52	35597.176	522.0451	4704.8076	39.5573	55.001	26.5971	40.2261	0.0051219	10.8403	54.5007	21.25	0.503231	15.7257	165
DATA	1752251393	809077978	2137	0	""	2025-07-11	09:29:53	35605.773	522.47998	4709.7227	39.556	55.001	26.5971	40.2261	0.00515899	10.8402	54.5007	-43.5	0.503231	15.7261	249
DATA	1752251394	809077978	2141	0	""	2025-07-11	09:29:54	35610.762	522.63574	4715.2148	39.5556	55.001	26.5962	40.2261	0.00513612	10.8407	54.5009	-73.25	0.503231	15.7265	 64
DATA	1752251395	809077978	2145	0	""	2025-07-11	09:29:55	35617.238	524.19379	4720.167	39.5556	55.001	26.5925	40.2261	0.00516211	10.8399	54.5011	-0.25	0.503231	15.7249	228
DATA	1752251396	809077978	2149	0	""	2025-07-11	09:29:56	35625.387	523.75708	4724.5703	39.556	55.001	26.5921	40.2261	0.00514057	10.8395	54.5009	128.25	0.503231	15.7249	 46
DATA	1752251397	809077978	2153	0	""	2025-07-11	09:29:57	35629.082	524.08716	4729.0127	39.556	55.001	26.5958	40.2261	0.00514287	10.8404	54.5009	-72.5	0.503231	15.7261	236
DATA	1752251398	809077978	2157	0	""	2025-07-11	09:29:58	35634.461	525.88348	4734.6348	39.5565	55.001	26.5938	40.2261	0.00512767	10.8387	54.5009	-91.5	0.503231	15.7265	 67
DATA	1752251399	808741092	2161	0	""	2025-07-11	09:29:59	35640.555	527.26611	4739.6489	39.5565	55.001	26.5938	40.2261	0.00514274	10.8406	54.5005	-18.5	0.503231	15.7261	 25
DATA	1752251400	808741092	2165	0	""	2025-07-11	09:30:00	35644.676	525.77191	4745.0747	39.556	55.001	26.5925	40.2261	0.00513946	10.8393	54.5005	7	0.503231	15.7253	  9
DATA	1752251401	808741092	2169	0	""	2025-07-11	09:30:01	35648.992	526.08563	4749.8765	39.5565	55.001	26.5934	40.2261	0.00514434	10.8398	54.5005	-42.5	0.503231	15.7245	 17
DATA	1752251402	808741092	2173	0	""	2025-07-11	09:30:02	35646.172	526.97443	4754.5469	39.5565	55.001	26.5942	40.2261	0.00514997	10.8392	54.5005	185.25	0.503231	15.7245	 69
DATA	1752251403	808741092	2177	0	""	2025-07-11	09:30:03	35649.41	525.75323	4760.4595	39.5569	55.001	26.5967	40.2261	0.0051287	10.8397	54.5005	-201	0.503231	15.7229	112
DATA	1752251404	808741092	2181	0	""	2025-07-11	09:30:04	35652.945	528.73462	4765.7153	39.5569	55.001	26.5971	40.2261	0.00507776	10.8398	54.5005	208.5	0.503231	15.7233	 20
DATA	1752251405	808741092	2185	0	""	2025-07-11	09:30:05	35643.434	527.91541	4770.3682	39.5548	55.001	26.5991	40.2261	0.00509943	10.8402	54.5007	-318	0.503231	15.7217	206
DATA	1752251406	808741092	2189	0	""	2025-07-11	09:30:06	35625.777	530.8844	4775.5039	39.5573	55.001	26.5946	40.2261	0.00514825	10.8392	54.5007	-178.5	0.503231	15.7225	 22
DATA	1752251407	808402061	2193	0	""	2025-07-11	09:30:07	35608.961	530.41449	4780.5728	39.556	55.001	26.5909	40.2261	0.0051461	10.8402	54.5011	-175	0.503231	15.7241	 82
DATA	1752251408	808402061	2197	0	""	2025-07-11	09:30:08	35598.848	530.05005	4784.2061	39.5565	55.001	26.5868	40.2261	0.00514188	10.8404	54.5013	28	0.503231	15.7241	102
DATA	1752251409	808402061	2201	0	""	2025-07-11	09:30:09	35593.922	532.06824	4789.8027	39.5569	55.001	26.586	40.2261	0.00513987	10.8401	54.5013	-147.5	0.503231	15.7261	250
DATA	1752251410	808402061	2205	0	""	2025-07-11	09:30:10	35585.836	532.42194	4794.5576	39.5577	55.001	26.5848	40.2261	0.00514051	10.8395	54.5013	37.5	0.503231	15.7272	200
DATA	1752251411	808402061	2209	0	""	2025-07-11	09:30:11	35580.102	533.41675	4800.5083	39.5573	55.001	26.5864	40.2261	0.00510239	10.8403	54.5013	560.25	0.503231	15.7261	  1
DATA	1752251412	808402061	2213	0	""	2025-07-11	09:30:12	35572.043	533.0697	4805.3999	39.556	55.001	26.5909	40.2261	0.00513174	10.8404	54.5013	71.5	0.503231	15.7253	 79
DATA	1752251413	808402061	2217	0	""	2025-07-11	09:30:13	35564.52	533.94769	4810.5439	39.5589	55.001	26.595	40.2261	0.00507875	10.8401	54.5005	679	0.503231	15.7245	 66
DATA	1752251414	808065891	2221	0	""	2025-07-11	09:30:14	35564.184	532.71539	4816.416	39.5585	55.001	26.6012	40.2261	0.00511349	10.8399	54.5005	452	0.503231	15.7245	100
DATA	1752251415	808065891	2225	0	""	2025-07-11	09:30:15	35572.258	534.19189	4820.8354	39.5589	55.001	26.6086	40.2261	0.00514677	10.8405	54.5005	821.5	0.503231	15.7229	 19
DATA	1752251416	808065891	2229	0	""	2025-07-11	09:30:16	35585.191	535.98859	4828.0771	39.5618	55.001	26.6176	40.2261	0.00500374	10.8396	54.5005	1403	0.503231	15.7225	229
DATA	1752251417	808065891	2233	0	""	2025-07-11	09:30:17	35580.465	533.80298	4831.4238	39.5499	55.001	26.6254	40.2261	0.00530874	10.839	54.5005	-774.5	0.503231	15.7214	 13
DATA	1752251418	808065891	2237	0	""	2025-07-11	09:30:18	35572.77	537.90979	4836.0518	39.554	55.001	26.618	40.2261	0.00523944	10.84	54.5005	-687	0.503231	15.721	181
DATA	1752251419	808065891	2241	0	""	2025-07-11	09:30:19	35551.391	536.97839	4840.7661	39.5536	55.001	26.609	40.2261	0.00520039	10.8401	54.5005	-946.75	0.503231	15.7214	 58
DATA	1752251420	808065891	2245	0	""	2025-07-11	09:30:20	35532.043	537.74182	4845.4468	39.5565	55.001	26.5999	40.2261	0.00514447	10.84	54.5005	-428.75	0.503231	15.721	208
DATA	1752251421	808065891	2249	0	""	2025-07-11	09:30:21	35511.695	538.49652	4850.5098	39.5573	55.001	26.595	40.2261	0.00511575	10.8397	54.5005	-43.75	0.503231	15.7217	 17
DATA	1752251422	807739019	2253	0	""	2025-07-11	09:30:22	35491.227	540.17328	4855.625	39.556	55.001	26.5958	40.2261	0.00510884	10.8399	54.5005	-52.5	0.503231	15.7214	153
DATA	1752251423	807739019	2257	0	""	2025-07-11	09:30:23	35459.496	539.66223	4860.4966	39.5565	55.0012	26.5921	40.2261	0.00510269	10.8408	54.5005	-94.75	0.503231	15.7217	122
DATA	1752251424	807739019	2261	0	""	2025-07-11	09:30:24	35432.023	540.15247	4865.5352	39.5585	55.0012	26.5913	40.2261	0.00510592	10.8413	54.5007	55.75	0.503231	15.7206	 33
DATA	1752251425	807739019	2265	0	""	2025-07-11	09:30:25	35403.367	540.65118	4870.4985	39.5577	55.001	26.5938	40.2261	0.00508026	10.8408	54.5011	26.5	0.503231	15.7206	212
DATA	1752251426	807739019	2269	0	""	2025-07-11	09:30:26	35378.055	541.79285	4876.3257	39.5577	55.001	26.5946	40.2261	0.00506495	10.8401	54.5013	-8	0.503231	15.7225	132
DATA	1752251427	807739019	2273	0	""	2025-07-11	09:30:27	35354.648	542.42352	4881.4341	39.5573	55.001	26.5954	40.2261	0.00505156	10.8408	54.5013	169.5	0.503231	15.7225	  5
DATA	1752251428	807739019	2277	0	""	2025-07-11	09:30:28	35338.734	543.79309	4888.2637	39.5712	55.001	26.6036	40.2261	0.00495383	10.8407	54.5013	1911	0.503231	15.7225	232
DATA	1752251429	807398080	2281	0	""	2025-07-11	09:30:29	35345.805	544.81195	4898.0176	39.5761	55.001	26.6434	40.2261	0.00491688	10.8406	54.5013	3421	0.503231	15.7229	230
DATA	1752251430	807398080	2285	0	""	2025-07-11	09:30:30	35317.117	542.86316	4899.5356	39.5405	55.001	26.6906	40.2261	0.00540173	10.8412	54.5007	-986.75	0.503231	15.7225	104
DATA	1752251431	807398080	2289	0	""	2025-07-11	09:30:31	35266	543.17218	4900.2754	39.5343	55.0012	26.6344	40.2256	0.00599373	10.8411	54.5005	-2229	0.502273	15.7206	102
DATA	1752251432	807398080	2293	0	""	2025-07-11	09:30:32	35246.703	543.90094	4905.9971	39.5491	55.0016	26.5921	40.2242	0.00534301	10.8411	54.5005	-173.75	0.501698	15.721	 99
DATA	1752251433	807398080	2297	0	""	2025-07-11	09:30:33	35224.676	545.80927	4911.8169	39.554	55.001	26.5868	40.2246	0.00509321	10.8407	54.5005	75.5	0.501698	15.7214	188
DATA	1752251434	807398080	2301	0	""	2025-07-11	09:30:34	35210.164	544.90588	4916.1704	39.556	55.001	26.5901	40.2246	0.00505526	10.8407	54.5005	18.5	0.501698	15.721	 97
DATA	1752251435	807398080	2305	0	""	2025-07-11	09:30:35	35196.215	548.29883	4921.8115	39.5565	55.001	26.5909	40.2246	0.00505756	10.8413	54.5005	-10.25	0.501698	15.7202	 59
DATA	1752251436	807398080	2309	0	""	2025-07-11	09:30:36	35192.926	547.1676	4926.2725	39.5569	55.001	26.5909	40.2246	0.00503832	10.8417	54.5005	54	0.501698	15.7206	 92
DATA	1752251437	807063102	2313	0	""	2025-07-11	09:30:37	35186.68	548.03937	4930.5679	39.5569	55.001	26.5942	40.2246	0.00504359	10.8402	54.5005	13.25	0.501698	15.7198	232
DATA	1752251438	807063102	2317	0	""	2025-07-11	09:30:38	35186.902	548.83771	4935.6943	39.5569	55.001	26.593	40.2246	0.00503947	10.8412	54.5005	-16.25	0.501698	15.7194	 27
DATA	1752251439	807063102	2321	0	""	2025-07-11	09:30:39	35189.781	548.58832	4940.9468	39.5556	55.001	26.5917	40.2246	0.00504027	10.8405	54.5009	-46	0.501698	15.7194	188
DATA	1752251440	807063102	2325	0	""	2025-07-11	09:30:40	35188.383	549.97217	4945.8345	39.5556	55.001	26.5889	40.2246	0.00504974	10.8409	54.5013	-27	0.501698	15.7186	190
DATA	1752251441	807063102	2329	0	""	2025-07-11	09:30:41	35187.727	550.10095	4950.6816	39.5552	55.001	26.588	40.2246	0.00503191	10.8417	54.5013	-202.5	0.501698	15.7206	238
DATA	1752251442	807063102	2333	0	""	2025-07-11	09:30:42	35182.555	550.92407	4955.9985	39.5544	55.001	26.5827	40.2246	0.00506635	10.8413	54.5013	-237.5	0.501698	15.7206	 55
DATA	1752251443	807063102	2337	0	""	2025-07-11	09:30:43	35182.039	550.70245	4960.981	39.5544	55.001	26.5798	40.2246	0.00505662	10.8405	54.5013	-2.5	0.501698	15.7225	147
