Model:	LI-7810
SN:	TG10-01532
Software Version:	2.3.5
Timestamp:	2025-07-04 09:00:00
Timezone:	America/Los_Angeles
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1751644800	8095026	1153	256	""	2025-07-04	09:00:00	nan	nan	nan	101.02	21.8151	101.572	39.2853	0	0	22.2475	-13000	0	15.7457	  2
DATA	1751644801	8095026	1157	256	""	2025-07-04	09:00:01	nan	nan	nan	101.019	21.8321	101.572	39.286	0	0	22.2671	-13000	0	15.7445	  8
DATA	1751644802	8095026	1161	256	""	2025-07-04	09:00:02	nan	nan	nan	101.02	21.851	101.572	39.2864	0	0	22.2874	-13000	0	15.7457	217
DATA	1751644803	8095026	1165	256	""	2025-07-04	09:00:03	nan	nan	nan	101.019	21.8685	101.572	39.287	0	0	22.3079	-13000	0	15.7441	 24
DATA	1751644804	8095026	1169	256	""	2025-07-04	09:00:04	nan	nan	nan	101.02	21.8867	101.571	39.2876	0	0	22.3281	-13000	0	15.7441	 24
DATA	1751644805	7776975	1173	256	""	2025-07-04	09:00:05	nan	nan	nan	101.019	21.9046	101.571	39.2882	0	0	22.3486	-13000	0	15.7425	 91
DATA	1751644806	7776975	1177	256	""	2025-07-04	09:00:06	nan	nan	nan	101.02	21.9229	101.57	39.2887	0	0	22.3682	-13000	0	15.7418	  0
DATA	1751644807	7776975	1181	256	""	2025-07-04	09:00:07	nan	nan	nan	101.02	21.941	101.571	39.2893	0	0	22.3898	-13000	0	15.7422	247
DATA	1751644808	7776975	1185	256	""	2025-07-04	09:00:08	nan	nan	nan	101.019	21.9587	101.571	39.2899	0	0	22.4094	-13000	0	15.7425	114
DATA	1751644809	7776975	1189	256	""	2025-07-04	09:00:09	nan	nan	nan	101.02	21.9754	101.571	39.2905	0	0	22.4281	-13000	0	15.7429	 50
DATA	1751644810	7776975	1193	256	""	2025-07-04	09:00:10	nan	nan	nan	101.019	21.9933	101.571	39.2911	0	0	22.4485	-13000	0	15.7433	 82
DATA	1751644811	7776975	1197	256	""	2025-07-04	09:00:11	nan	nan	nan	101.019	22.0116	101.57	39.2916	0	0	22.4688	-13000	0	15.7414	 33
DATA	1751644812	7467985	1201	256	""	2025-07-04	09:00:12	nan	nan	nan	101.019	22.03	101.569	39.2922	0	0	22.4892	-13000	0	15.7394	231
DATA	1751644813	7467985	1205	256	""	2025-07-04	09:00:13	nan	nan	nan	101.02	22.0481	101.571	39.293	0	0	22.5094	-13000	0	15.7386	227
DATA	1751644814	7467985	1209	256	""	2025-07-04	09:00:14	nan	nan	nan	101.019	22.0661	101.57	39.2934	0	0	22.5295	-13000	0	15.7382	 35
DATA	1751644815	7467985	1213	256	""	2025-07-04	09:00:15	nan	nan	nan	101.02	22.0842	101.57	39.294	0	0	22.5493	-13000	0	15.7382	182
DATA	1751644816	7467985	1217	256	""	2025-07-04	09:00:16	nan	nan	nan	101.021	22.1021	101.57	39.2945	0	0	22.5703	-13000	0	15.7378	 23
